date,weekday,holiday,ili_index,fast_track_open,visits,ems_arrivals,esi_1_2,admissions,lwbs,lwbs_rate,median_door_to_provider_min,p90_door_to_provider_min,median_ed_los_min,boarding_hours,mean_inpatient_occupancy_pct
2025-01-29,Wednesday,0,1.15,0,144,39,26,28,3,0.0208,55.0,104.0,224.0,76.9,95.6
2025-01-30,Thursday,0,1.149,0,135,26,33,26,2,0.0148,41.0,95.0,259.0,67.0,96.0
2025-01-31,Friday,0,1.149,0,125,30,22,25,0,0.0,37.0,79.0,241.0,75.5,94.0
2025-02-01,Saturday,0,1.149,0,77,15,12,10,1,0.013,30.0,66.0,190.0,16.5,88.9
2025-02-02,Sunday,0,1.149,0,135,31,33,25,3,0.0222,37.0,82.0,230.0,42.9,89.7
2025-02-03,Monday,0,1.148,0,150,31,27,26,6,0.04,46.0,106.0,260.0,75.6,93.6
2025-02-04,Tuesday,0,1.148,0,155,35,32,32,4,0.0258,44.0,100.0,261.0,88.8,94.0
2025-02-05,Wednesday,0,1.147,0,142,39,25,29,4,0.0282,47.0,108.0,252.0,85.0,95.0
2025-02-06,Thursday,0,1.147,0,136,39,21,16,1,0.0074,45.0,104.0,236.0,52.6,94.1
2025-02-07,Friday,0,1.146,0,139,33,33,31,2,0.0144,41.0,97.0,250.0,84.2,94.5
2025-02-08,Saturday,0,1.146,0,144,39,25,32,5,0.0347,45.0,99.0,237.0,60.6,89.2
2025-02-09,Sunday,0,1.145,0,137,41,23,27,9,0.0657,41.0,96.0,195.0,33.8,86.4
2025-02-10,Monday,0,1.144,0,208,50,39,33,13,0.0625,47.0,117.0,235.0,70.7,89.2
2025-02-11,Tuesday,0,1.144,0,188,47,30,26,6,0.0319,50.0,108.0,218.0,56.2,91.8
2025-02-12,Wednesday,0,1.143,0,193,49,41,36,6,0.0311,53.0,128.0,247.0,86.8,93.3
2025-02-13,Thursday,0,1.142,0,201,49,32,33,1,0.005,47.0,107.0,222.0,72.8,94.0
2025-02-14,Friday,0,1.141,0,218,58,47,41,5,0.0229,49.0,137.0,236.0,68.5,87.7
2025-02-15,Saturday,0,1.14,0,174,32,26,33,2,0.0115,46.0,101.0,248.0,34.3,84.6
2025-02-16,Sunday,0,1.139,0,211,55,38,50,10,0.0474,53.0,118.0,244.0,49.4,80.6
2025-02-17,Monday,1,1.138,0,144,35,21,34,2,0.0139,46.0,100.0,248.0,58.3,85.3
2025-02-18,Tuesday,0,1.137,0,175,38,30,26,5,0.0286,47.0,112.0,244.0,26.0,82.0
2025-02-19,Wednesday,0,1.136,0,145,37,35,23,2,0.0138,36.0,87.0,227.0,36.3,88.1
2025-02-20,Thursday,0,1.135,0,125,32,20,25,3,0.024,40.0,109.0,241.0,33.4,87.4
2025-02-21,Friday,0,1.134,0,123,30,24,22,1,0.0081,39.0,93.0,224.0,52.6,94.1
2025-02-22,Saturday,0,1.133,0,115,27,29,22,3,0.0261,41.0,94.0,223.0,45.0,89.5
2025-02-23,Sunday,0,1.132,0,111,29,27,23,4,0.036,38.0,97.0,237.0,49.5,91.5
2025-02-24,Monday,0,1.13,0,181,36,27,30,6,0.0331,51.0,129.0,244.0,103.5,96.2
2025-02-25,Tuesday,0,1.129,0,173,34,34,36,7,0.0405,56.0,138.0,264.0,134.1,98.3
2025-02-26,Wednesday,0,1.128,0,157,41,35,33,2,0.0127,44.0,101.0,258.0,92.6,96.4
2025-02-27,Thursday,0,1.126,0,122,26,20,25,1,0.0082,48.0,102.0,250.0,65.2,91.6
2025-02-28,Friday,0,1.125,0,116,28,14,23,0,0.0,43.0,84.0,209.0,34.6,87.2
2025-03-01,Saturday,0,1.124,0,128,31,25,29,5,0.0391,36.0,93.0,223.0,26.1,81.8
2025-03-02,Sunday,0,1.122,0,142,37,32,36,8,0.0563,40.0,84.0,237.0,50.1,84.3
2025-03-03,Monday,0,1.121,0,177,43,37,36,5,0.0282,48.0,115.0,243.0,63.6,90.2
2025-03-04,Tuesday,0,1.119,0,161,35,29,25,5,0.0311,52.0,122.0,258.0,64.1,89.7
2025-03-05,Wednesday,0,1.117,0,152,35,23,27,8,0.0526,45.0,98.0,244.0,55.0,91.7
2025-03-06,Thursday,0,1.116,0,149,37,34,25,5,0.0336,49.0,103.0,240.0,69.7,94.1
2025-03-07,Friday,0,1.114,0,140,30,16,31,2,0.0143,46.0,113.0,231.0,39.8,87.8
2025-03-08,Saturday,0,1.112,0,105,27,14,19,2,0.019,36.0,80.0,197.0,23.0,83.7
2025-03-09,Sunday,0,1.111,0,158,40,21,33,2,0.0127,50.0,108.0,234.0,49.6,87.2
2025-03-10,Monday,0,1.109,0,152,23,33,29,5,0.0329,40.0,102.0,218.0,48.3,89.3
2025-03-11,Tuesday,0,1.107,0,127,35,23,19,5,0.0394,42.0,105.0,204.0,40.6,92.2
2025-03-12,Wednesday,0,1.105,0,139,43,32,35,3,0.0216,44.0,102.0,254.0,61.6,90.5
2025-03-13,Thursday,0,1.104,0,84,20,23,19,2,0.0238,35.0,83.0,230.0,35.0,88.9
2025-03-14,Friday,0,1.102,0,133,33,22,19,4,0.0301,44.0,106.0,219.0,27.8,88.3
2025-03-15,Saturday,0,1.1,0,132,29,25,23,4,0.0303,38.0,95.0,202.0,34.3,84.9
2025-03-16,Sunday,0,1.098,0,129,34,26,33,4,0.031,40.0,89.0,232.0,60.8,86.3
2025-03-17,Monday,0,1.096,0,113,25,16,19,1,0.0088,44.0,81.0,219.0,45.3,93.7
2025-03-18,Tuesday,0,1.094,0,117,26,21,20,1,0.0085,43.0,89.0,201.0,51.0,92.3
2025-03-19,Wednesday,0,1.092,0,126,33,25,30,2,0.0159,36.0,76.0,240.0,90.3,95.8
2025-03-20,Thursday,0,1.09,0,119,26,27,25,4,0.0336,38.0,91.0,248.0,83.0,96.0
2025-03-21,Friday,0,1.088,0,137,33,27,24,3,0.0219,43.0,95.0,225.0,50.1,93.9
2025-03-22,Saturday,0,1.086,0,90,17,16,20,1,0.0111,36.0,85.0,248.0,42.4,92.8
2025-03-23,Sunday,0,1.083,0,138,33,26,22,3,0.0217,42.0,83.0,210.0,58.1,95.7
2025-03-24,Monday,0,1.081,0,200,61,39,49,7,0.035,43.0,112.0,244.0,172.8,98.2
2025-03-25,Tuesday,0,1.079,0,165,33,38,26,9,0.0545,44.0,104.0,250.0,89.9,96.8
2025-03-26,Wednesday,0,1.077,0,124,33,28,24,4,0.0323,40.0,90.0,234.0,62.5,91.8
2025-03-27,Thursday,0,1.075,0,133,15,23,32,1,0.0075,48.0,101.0,260.0,82.8,93.4
2025-03-28,Friday,0,1.072,0,162,41,31,34,2,0.0123,43.0,95.0,249.0,86.3,95.1
2025-03-29,Saturday,0,1.07,0,113,36,29,22,2,0.0177,34.0,85.0,224.0,57.8,93.7
2025-03-30,Sunday,0,1.068,0,130,42,28,30,1,0.0077,34.0,88.0,270.0,64.4,91.0
2025-03-31,Monday,0,1.065,0,157,31,18,28,2,0.0127,41.0,87.0,218.0,77.0,94.9
2025-04-01,Tuesday,0,1.063,0,119,26,16,17,3,0.0252,42.0,91.0,222.0,40.0,95.7
2025-04-02,Wednesday,0,1.061,0,124,36,20,26,4,0.0323,38.0,93.0,241.0,63.3,92.7
2025-04-03,Thursday,0,1.058,0,136,34,27,33,4,0.0294,42.0,103.0,226.0,94.0,92.5
2025-04-04,Friday,0,1.056,0,133,39,24,24,2,0.015,42.0,98.0,237.0,27.6,83.6
2025-04-05,Saturday,0,1.054,0,138,23,29,32,2,0.0145,40.0,88.0,226.0,38.0,81.9
2025-04-06,Sunday,0,1.051,0,142,33,34,34,4,0.0282,46.0,99.0,259.0,30.2,78.9
2025-04-07,Monday,0,1.049,0,114,31,20,23,3,0.0263,40.0,87.0,226.0,22.2,80.9
2025-04-08,Tuesday,0,1.046,0,139,34,17,23,4,0.0288,39.0,87.0,207.0,17.7,82.0
2025-04-09,Wednesday,0,1.044,0,123,45,30,27,3,0.0244,32.0,88.0,233.0,30.9,83.0
2025-04-10,Thursday,0,1.041,0,74,16,15,15,1,0.0135,32.0,73.0,221.0,19.0,84.1
2025-04-11,Friday,0,1.039,0,138,36,37,27,2,0.0145,42.0,112.0,221.0,19.8,77.7
2025-04-12,Saturday,0,1.036,0,121,29,28,21,4,0.0331,39.0,101.0,225.0,11.6,74.6
2025-04-13,Sunday,0,1.034,0,163,38,28,27,4,0.0245,45.0,102.0,227.0,23.9,82.9
2025-04-14,Monday,0,1.031,0,128,32,17,17,2,0.0156,45.0,86.0,228.0,24.4,87.2
2025-04-15,Tuesday,0,1.029,0,116,31,18,18,5,0.0431,37.0,79.0,216.0,16.9,85.2
2025-04-16,Wednesday,0,1.026,0,126,31,12,16,3,0.0238,43.0,83.0,196.0,28.8,88.2
2025-04-17,Thursday,0,1.024,0,138,31,27,26,2,0.0145,50.0,117.0,240.0,38.8,88.1
2025-04-18,Friday,0,1.021,0,132,35,24,28,4,0.0303,49.0,92.0,245.0,64.0,89.6
2025-04-19,Saturday,0,1.019,0,97,28,22,15,0,0.0,37.0,88.0,222.0,22.4,84.7
2025-04-20,Sunday,0,1.016,0,120,30,23,24,4,0.0333,38.0,72.0,191.0,43.7,90.0
2025-04-21,Monday,0,1.014,0,143,35,30,23,4,0.028,37.0,97.0,229.0,49.2,93.2
2025-04-22,Tuesday,0,1.011,0,127,25,21,21,1,0.0079,42.0,75.0,207.0,42.2,92.3
2025-04-23,Wednesday,0,1.008,0,107,30,15,18,2,0.0187,43.0,96.0,203.0,27.7,85.6
2025-04-24,Thursday,0,1.006,0,123,29,22,18,4,0.0325,35.0,80.0,234.0,20.5,84.8
2025-04-25,Friday,0,1.003,0,121,30,25,20,0,0.0,40.0,92.0,248.0,28.4,86.2
2025-04-26,Saturday,0,1.001,0,130,26,27,29,3,0.0231,38.0,98.0,234.0,35.0,81.4
2025-04-27,Sunday,0,0.998,0,108,34,20,29,0,0.0,40.0,95.0,248.0,32.0,84.0
2025-04-28,Monday,0,0.995,0,163,32,29,35,2,0.0123,50.0,105.0,230.0,48.0,83.9
2025-04-29,Tuesday,0,0.993,0,124,23,16,28,5,0.0403,40.0,89.0,194.0,38.2,85.6
2025-04-30,Wednesday,0,0.99,0,96,22,18,24,1,0.0104,35.0,105.0,222.0,44.2,88.1
2025-05-01,Thursday,0,0.988,0,145,34,19,26,5,0.0345,40.0,96.0,235.0,47.1,88.4
2025-05-02,Friday,0,0.985,0,132,24,25,25,3,0.0227,39.0,98.0,224.0,35.5,86.5
2025-05-03,Saturday,0,0.983,0,103,18,23,20,0,0.0,39.0,79.0,232.0,23.6,85.0
2025-05-04,Sunday,0,0.98,0,115,24,20,23,1,0.0087,40.0,88.0,226.0,41.1,90.1
2025-05-05,Monday,0,0.977,0,164,40,27,30,7,0.0427,45.0,110.0,236.0,74.4,94.2
2025-05-06,Tuesday,0,0.975,0,111,28,24,24,0,0.0,40.0,94.0,238.0,78.0,96.1
2025-05-07,Wednesday,0,0.972,0,127,32,22,31,0,0.0,41.0,94.0,264.0,106.2,95.7
2025-05-08,Thursday,0,0.97,0,127,27,27,22,2,0.0157,43.0,104.0,223.0,50.8,92.5
2025-05-09,Friday,0,0.967,0,96,25,20,20,4,0.0417,41.0,82.0,241.0,37.8,91.0
2025-05-10,Saturday,0,0.965,0,81,28,23,20,0,0.0,31.0,76.0,241.0,32.3,89.1
2025-05-11,Sunday,0,0.962,0,139,27,22,28,4,0.0288,48.0,98.0,242.0,38.0,83.8
2025-05-12,Monday,0,0.96,0,142,38,31,26,1,0.007,41.0,90.0,238.0,30.9,85.0
2025-05-13,Tuesday,0,0.957,0,102,26,15,16,0,0.0,37.0,72.0,208.0,16.8,83.2
2025-05-14,Wednesday,0,0.955,0,110,21,17,16,2,0.0182,34.0,86.0,212.0,12.6,78.0
2025-05-15,Thursday,0,0.952,0,152,40,36,28,3,0.0197,38.0,91.0,246.0,22.8,80.7
2025-05-16,Friday,0,0.95,0,131,35,22,26,6,0.0458,47.0,101.0,228.0,32.5,83.6
2025-05-17,Saturday,0,0.948,0,126,31,21,18,1,0.0079,40.0,90.0,214.0,14.2,79.7
2025-05-18,Sunday,0,0.945,0,109,21,23,20,2,0.0183,37.0,93.0,211.0,10.6,76.0
2025-05-19,Monday,0,0.943,0,113,26,21,21,2,0.0177,38.0,96.0,218.0,13.6,76.3
2025-05-20,Tuesday,0,0.94,0,118,31,25,23,2,0.0169,40.0,89.0,227.0,21.9,80.4
2025-05-21,Wednesday,0,0.938,0,105,30,19,24,2,0.019,40.0,98.0,229.0,31.3,84.1
2025-05-22,Thursday,0,0.936,0,83,25,19,15,1,0.012,29.0,75.0,205.0,21.4,88.6
2025-05-23,Friday,0,0.933,0,140,42,23,24,6,0.0429,44.0,100.0,218.0,37.0,85.0
2025-05-24,Saturday,0,0.931,0,82,19,17,14,2,0.0244,38.0,78.0,217.0,9.2,76.3
2025-05-25,Sunday,0,0.929,0,119,27,22,21,2,0.0168,36.0,91.0,225.0,16.7,79.2
2025-05-26,Monday,1,0.926,0,94,23,21,22,2,0.0213,36.0,71.0,236.0,20.9,80.8
2025-05-27,Tuesday,0,0.924,0,114,32,29,22,1,0.0088,37.0,96.0,208.0,15.5,78.6
2025-05-28,Wednesday,0,0.922,0,93,24,19,24,0,0.0,33.0,70.0,272.0,28.2,83.0
2025-05-29,Thursday,0,0.92,0,89,27,21,24,1,0.0112,32.0,89.0,222.0,16.1,79.1
2025-05-30,Friday,0,0.918,0,123,32,28,18,4,0.0325,41.0,88.0,240.0,14.0,81.7
2025-05-31,Saturday,0,0.916,0,110,29,23,18,3,0.0273,38.0,73.0,228.0,11.2,76.7
2025-06-01,Sunday,0,0.913,0,93,14,16,16,4,0.043,33.0,70.0,213.0,12.7,79.1
2025-06-02,Monday,0,0.911,0,125,26,27,18,3,0.024,44.0,79.0,219.0,27.5,86.3
2025-06-03,Tuesday,0,0.909,0,83,24,16,10,3,0.0361,35.0,70.0,239.0,20.8,87.5
2025-06-04,Wednesday,0,0.907,0,128,27,22,25,3,0.0234,39.0,92.0,236.0,36.9,86.5
2025-06-05,Thursday,0,0.905,0,116,22,21,30,4,0.0345,36.0,101.0,242.0,44.7,86.5
2025-06-06,Friday,0,0.903,0,101,16,23,24,5,0.0495,30.0,70.0,202.0,14.2,79.5
2025-06-07,Saturday,0,0.901,0,127,37,32,30,2,0.0157,38.0,89.0,242.0,11.9,72.2
2025-06-08,Sunday,0,0.899,0,91,30,28,21,0,0.0,27.0,64.0,207.0,10.7,72.9
2025-06-09,Monday,0,0.897,0,115,27,26,28,7,0.0609,40.0,98.0,233.0,25.3,80.9
2025-06-10,Tuesday,0,0.896,0,123,35,26,21,2,0.0163,41.0,92.0,221.0,26.8,83.4
2025-06-11,Wednesday,0,0.894,0,83,20,18,12,0,0.0,28.0,77.0,194.0,15.1,85.0
2025-06-12,Thursday,0,0.892,0,120,22,30,25,3,0.025,34.0,81.0,249.0,33.6,85.3
2025-06-13,Friday,0,0.89,0,111,23,15,13,4,0.036,46.0,100.0,215.0,15.0,81.8
2025-06-14,Saturday,0,0.888,0,84,22,18,16,1,0.0119,33.0,84.0,198.0,16.5,80.4
2025-06-15,Sunday,0,0.887,0,103,23,20,24,3,0.0291,36.0,87.0,229.0,20.2,76.7
2025-06-16,Monday,0,0.885,0,127,34,27,29,7,0.0551,39.0,97.0,236.0,21.8,78.8
2025-06-17,Tuesday,0,0.883,0,96,23,17,17,2,0.0208,38.0,79.0,217.0,16.3,80.8
2025-06-18,Wednesday,0,0.882,0,94,25,14,22,1,0.0106,40.0,81.0,224.0,17.7,79.0
2025-06-19,Thursday,1,0.88,0,95,27,19,17,1,0.0105,36.0,72.0,212.0,11.6,77.3
2025-06-20,Friday,0,0.879,0,111,28,13,23,6,0.0541,40.0,86.0,204.0,15.7,78.1
2025-06-21,Saturday,0,0.877,0,76,15,18,11,2,0.0263,29.0,58.0,192.0,6.7,77.7
2025-06-22,Sunday,0,0.876,0,114,35,23,24,2,0.0175,35.0,78.0,194.0,19.0,77.5
2025-06-23,Monday,0,0.874,0,93,16,14,20,2,0.0215,35.0,95.0,204.0,19.6,79.7
2025-06-24,Tuesday,0,0.873,0,108,35,27,26,1,0.0093,34.0,87.0,230.0,24.7,82.5
2025-06-25,Wednesday,0,0.872,0,106,23,16,24,1,0.0094,38.0,84.0,225.0,27.2,85.5
2025-06-26,Thursday,0,0.87,0,104,20,19,19,1,0.0096,37.0,91.0,202.0,18.9,82.9
2025-06-27,Friday,0,0.869,0,85,19,13,14,1,0.0118,34.0,82.0,201.0,18.0,83.6
2025-06-28,Saturday,0,0.868,0,94,19,23,16,1,0.0106,36.0,76.0,246.0,11.2,76.9
2025-06-29,Sunday,0,0.866,0,125,34,24,25,3,0.024,44.0,89.0,246.0,19.4,78.6
2025-06-30,Monday,0,0.865,0,120,32,28,33,0,0.0,38.0,95.0,266.0,35.7,84.4
2025-07-01,Tuesday,0,0.864,1,108,20,12,15,5,0.0463,36.0,84.0,196.0,21.4,83.9
2025-07-02,Wednesday,0,0.863,1,93,21,13,14,1,0.0108,32.0,61.0,189.0,16.7,85.2
2025-07-03,Thursday,0,0.862,1,93,24,12,15,1,0.0108,33.0,85.0,185.0,15.2,84.3
2025-07-04,Friday,1,0.861,1,68,16,12,14,0,0.0,28.0,50.0,209.0,16.2,83.9
2025-07-05,Saturday,0,0.86,1,112,25,19,26,0,0.0,38.0,80.0,226.0,31.7,82.0
2025-07-06,Sunday,0,0.859,1,107,28,26,24,2,0.0187,32.0,74.0,250.0,33.2,85.1
2025-07-07,Monday,0,0.858,1,129,35,31,23,3,0.0233,35.0,82.0,229.0,30.5,84.3
2025-07-08,Tuesday,0,0.858,1,115,32,21,16,0,0.0,34.0,68.0,222.0,13.4,81.7
2025-07-09,Wednesday,0,0.857,1,111,29,25,17,2,0.018,32.0,69.0,209.0,18.3,85.2
2025-07-10,Thursday,0,0.856,1,98,26,14,22,0,0.0,36.0,78.0,246.0,62.8,93.1
2025-07-11,Friday,0,0.855,1,87,13,21,19,2,0.023,28.0,71.0,235.0,39.8,91.5
2025-07-12,Saturday,0,0.855,1,92,18,14,14,3,0.0326,33.0,67.0,170.0,25.4,89.6
2025-07-13,Sunday,0,0.854,1,107,25,17,24,2,0.0187,33.0,66.0,221.0,25.8,83.6
2025-07-14,Monday,0,0.853,1,102,27,18,24,2,0.0196,31.0,80.0,216.0,36.1,86.7
2025-07-15,Tuesday,0,0.853,1,130,31,23,24,2,0.0154,32.0,66.0,220.0,54.2,91.7
2025-07-16,Wednesday,0,0.852,1,89,15,16,16,4,0.0449,39.0,68.0,229.0,36.1,93.1
2025-07-17,Thursday,0,0.852,1,94,21,26,17,2,0.0213,28.0,78.0,229.0,42.4,91.1
2025-07-18,Friday,0,0.852,1,99,26,23,24,1,0.0101,29.0,63.0,233.0,40.6,89.3
2025-07-19,Saturday,0,0.851,1,103,25,19,14,1,0.0097,33.0,72.0,218.0,17.9,85.1
2025-07-20,Sunday,0,0.851,1,102,24,21,18,2,0.0196,31.0,63.0,237.0,28.8,86.8
2025-07-21,Monday,0,0.851,1,131,32,21,30,2,0.0153,35.0,75.0,216.0,71.1,91.2
2025-07-22,Tuesday,0,0.85,1,163,40,29,36,1,0.0061,38.0,79.0,243.0,77.2,90.2
2025-07-23,Wednesday,0,0.85,1,96,26,23,24,1,0.0104,34.0,67.0,232.0,53.2,92.0
2025-07-24,Thursday,0,0.85,1,104,34,24,21,2,0.0192,33.0,76.0,205.0,59.7,96.7
2025-07-25,Friday,0,0.85,1,121,38,27,30,1,0.0083,32.0,71.0,244.0,42.9,89.7
2025-07-26,Saturday,0,0.85,1,97,32,22,22,0,0.0,32.0,83.0,230.0,22.2,82.6
2025-07-27,Sunday,0,0.85,1,103,20,13,23,0,0.0,33.0,65.0,215.0,21.1,81.1
2025-07-28,Monday,0,0.85,1,104,25,19,20,1,0.0096,32.0,82.0,214.0,26.0,85.2
2025-07-29,Tuesday,0,0.85,1,90,12,20,20,2,0.0222,28.0,61.0,199.0,25.8,82.8
2025-07-30,Wednesday,0,0.85,1,83,24,15,17,2,0.0241,32.0,70.0,210.0,13.3,77.3
2025-07-31,Thursday,0,0.85,1,117,23,17,27,4,0.0342,34.0,75.0,223.0,31.4,80.7
2025-08-01,Friday,0,0.851,1,100,24,14,15,1,0.01,33.0,76.0,196.0,12.5,78.9
2025-08-02,Saturday,0,0.851,1,93,23,17,23,2,0.0215,30.0,77.0,213.0,10.5,71.8
2025-08-03,Sunday,0,0.851,1,67,9,8,12,0,0.0,31.0,61.0,181.0,4.4,71.3
2025-08-04,Monday,0,0.852,1,113,34,25,22,1,0.0088,35.0,82.0,206.0,11.1,74.1
2025-08-05,Tuesday,0,0.852,1,94,19,13,16,1,0.0106,30.0,60.0,212.0,7.0,73.2
2025-08-06,Wednesday,0,0.852,1,117,26,21,20,0,0.0,31.0,65.0,225.0,13.4,75.9
2025-08-07,Thursday,0,0.853,1,90,21,16,10,0,0.0,33.0,70.0,208.0,7.6,81.1
2025-08-08,Friday,0,0.853,1,151,46,32,27,1,0.0066,38.0,80.0,224.0,34.6,83.1
2025-08-09,Saturday,0,0.854,1,84,19,11,20,1,0.0119,31.0,70.0,216.0,16.2,78.3
2025-08-10,Sunday,0,0.855,1,102,23,16,23,2,0.0196,36.0,76.0,233.0,24.6,82.7
2025-08-11,Monday,0,0.855,1,107,27,25,22,1,0.0093,34.0,98.0,235.0,27.6,84.4
2025-08-12,Tuesday,0,0.856,1,98,22,19,24,1,0.0102,32.0,65.0,215.0,28.1,83.0
2025-08-13,Wednesday,0,0.857,1,118,43,32,20,1,0.0085,36.0,87.0,238.0,16.9,81.2
2025-08-14,Thursday,0,0.858,1,111,25,24,20,1,0.009,32.0,81.0,211.0,23.8,82.2
2025-08-15,Friday,0,0.858,1,106,29,16,17,0,0.0,35.0,68.0,221.0,20.3,83.0
2025-08-16,Saturday,0,0.859,1,75,22,21,19,0,0.0,29.0,53.0,198.0,11.8,74.9
2025-08-17,Sunday,0,0.86,1,77,17,13,12,1,0.013,32.0,64.0,163.0,9.4,74.6
2025-08-18,Monday,0,0.861,1,118,40,23,25,3,0.0254,32.0,80.0,239.0,45.3,86.3
2025-08-19,Tuesday,0,0.862,1,146,24,25,28,2,0.0137,41.0,84.0,232.0,26.6,83.6
2025-08-20,Wednesday,0,0.863,1,78,16,16,23,0,0.0,30.0,57.0,171.0,31.2,84.7
2025-08-21,Thursday,0,0.864,1,119,37,20,31,2,0.0168,33.0,78.0,227.0,33.4,84.5
2025-08-22,Friday,0,0.865,1,87,16,13,13,1,0.0115,32.0,64.0,208.0,19.7,83.7
2025-08-23,Saturday,0,0.866,1,113,28,21,20,6,0.0531,31.0,79.0,221.0,14.6,78.7
2025-08-24,Sunday,0,0.868,1,91,24,19,25,2,0.022,29.0,66.0,208.0,16.1,77.6
2025-08-25,Monday,0,0.869,1,110,25,15,21,2,0.0182,38.0,80.0,213.0,24.2,83.2
2025-08-26,Tuesday,0,0.87,1,120,36,28,23,1,0.0083,35.0,81.0,228.0,31.4,84.5
2025-08-27,Wednesday,0,0.872,1,97,30,18,24,4,0.0412,33.0,75.0,232.0,46.4,88.1
2025-08-28,Thursday,0,0.873,1,122,27,23,26,1,0.0082,33.0,74.0,228.0,74.2,93.3
2025-08-29,Friday,0,0.874,1,127,22,23,28,1,0.0079,36.0,76.0,228.0,59.3,89.8
2025-08-30,Saturday,0,0.876,1,108,23,11,22,1,0.0093,39.0,74.0,214.0,34.4,88.5
2025-08-31,Sunday,0,0.877,1,89,17,17,18,2,0.0225,33.0,71.0,196.0,33.2,91.1
2025-09-01,Monday,1,0.879,1,97,31,21,18,1,0.0103,38.0,82.0,251.0,53.4,92.3
2025-09-02,Tuesday,0,0.88,1,152,26,32,33,1,0.0066,38.0,85.0,228.0,42.0,87.3
2025-09-03,Wednesday,0,0.882,1,121,25,32,20,1,0.0083,32.0,86.0,222.0,27.3,87.0
2025-09-04,Thursday,0,0.883,1,106,25,19,21,0,0.0,34.0,62.0,218.0,21.6,82.2
2025-09-05,Friday,0,0.885,1,105,29,17,20,1,0.0095,28.0,70.0,198.0,19.1,82.3
2025-09-06,Saturday,0,0.887,1,112,24,22,25,1,0.0089,39.0,85.0,224.0,17.3,76.1
2025-09-07,Sunday,0,0.888,1,123,29,18,23,0,0.0,37.0,67.0,219.0,27.1,80.7
2025-09-08,Monday,0,0.89,1,104,21,22,18,0,0.0,34.0,65.0,221.0,23.9,84.5
